league,match_name,outcome,mu_phat,fair_prob,raw_odds,mu_edge,bin17_edge,bin27_edge,min_edge,state_17_id,state_27_id,oos_roi,oos_t_stat,n_train,n_test
league_es,BET - BAR,o_u_2_5_ov_val,0.512376,0.2088,4.79,0.303576,0.254969,0.325317,0.254969,STATE_17_08,STATE_27_26,0.833628,10.433,1979.0,849.0
league_es,BET - BAR,o_u_1_5_ov_val,0.747878,0.4717,2.12,0.276178,0.245324,0.302319,0.245324,STATE_17_08,STATE_27_26,0.318445,9.026,1979.0,849.0
league_es,VAL - ELC,o_u_2_5_ov_val,0.437213,0.2217,4.51,0.215513,0.22755,0.252184,0.215513,STATE_17_03,STATE_27_10,0.583015,7.892,1978.0,849.0
league_es,BET - BAR,gg_ng_gg_val,0.546322,0.2933,3.41,0.253022,0.213241,0.27241,0.213241,STATE_17_08,STATE_27_26,0.478068,8.243,1979.0,849.0
league_es,VAL - ELC,o_u_1_5_ov_val,0.699328,0.4878,2.05,0.211528,0.228327,0.245207,0.211528,STATE_17_03,STATE_27_10,0.238693,6.938,1978.0,849.0
league_en,NOT - ARS,double_chance_1x_val,0.568045,0.3546,2.82,0.213445,0.20034,0.231255,0.20034,STATE_17_03,STATE_27_09,0.371802,7.686,1980.0,849.0
league_en,FUL - ARS,double_chance_1x_val,0.550462,0.3546,2.82,0.195862,0.20034,0.231255,0.195862,STATE_17_03,STATE_27_09,0.338249,6.982,1969.0,845.0
league_es,GET - ATH,o_u_1_5_ov_val,0.661125,0.4717,2.12,0.189425,0.202811,0.244646,0.189425,STATE_17_21,STATE_27_08,0.163628,4.52,1978.0,849.0
league_it,CAG - INT,double_chance_1x_val,0.401132,0.1992,5.02,0.201932,0.194533,0.184185,0.184185,STATE_17_08,STATE_27_18,0.584641,7.301,1978.0,849.0
league_es,GET - ATH,o_u_2_5_ov_val,0.391935,0.2088,4.79,0.183135,0.196844,0.243747,0.183135,STATE_17_21,STATE_27_08,0.438693,5.821,1978.0,849.0
league_es,OSA - GET,o_u_1_5_ov_val,0.66419,0.4762,2.1,0.18799,0.180898,0.186563,0.180898,STATE_17_05,STATE_27_01,0.201061,5.635,1978.0,848.0
league_es,ESP - ALV,o_u_1_5_ov_val,0.653696,0.4762,2.1,0.177496,0.21821,0.186563,0.177496,STATE_17_02,STATE_27_01,0.209541,5.883,1978.0,849.0
league_en,BRE - ARS,double_chance_1x_val,0.577959,0.4016,2.49,0.176359,0.187631,0.203258,0.176359,STATE_17_09,STATE_27_07,0.155336,3.641,1975.0,847.0
league_es,BET - BAR,o_u_3_5_ov_val,0.284653,0.0741,13.5,0.210553,0.174565,0.234397,0.174565,STATE_17_08,STATE_27_26,1.464664,8.183,1979.0,849.0
league_es,OSA - GET,o_u_2_5_ov_val,0.386412,0.2123,4.71,0.174112,0.177651,0.183442,0.174112,STATE_17_05,STATE_27_01,0.416333,5.613,1978.0,848.0
league_en,LEE - ARS,double_chance_1x_val,0.562544,0.3546,2.82,0.207944,0.20034,0.170752,0.170752,STATE_17_03,STATE_27_05,0.351598,7.255,1969.0,845.0
league_es,OSA - ATH,o_u_1_5_ov_val,0.647205,0.4785,2.09,0.168705,0.196011,0.194351,0.168705,STATE_17_21,STATE_27_09,0.200271,5.643,1978.0,848.0
league_es,OSA - ATH,o_u_2_5_ov_val,0.383227,0.2155,4.64,0.167727,0.190144,0.190821,0.167727,STATE_17_21,STATE_27_09,0.543019,7.234,1978.0,848.0
league_es,ESP - ALV,o_u_2_5_ov_val,0.377786,0.2123,4.71,0.165486,0.215007,0.183442,0.165486,STATE_17_02,STATE_27_01,0.381378,5.182,1978.0,849.0
league_es,VAL - ELC,gg_ng_gg_val,0.456314,0.2933,3.41,0.163014,0.18813,0.204806,0.163014,STATE_17_03,STATE_27_10,0.325442,5.705,1978.0,849.0
league_it,INT - GEN,o_u_3_5_un_val,0.651344,0.4902,2.04,0.161144,0.157785,0.175644,0.157785,STATE_17_14,STATE_27_04,0.189399,5.487,1979.0,849.0
