Category,DataWindow,H2H,Market,Type,Odds,TrueProb,EV_pct,N_matches,HitFreq
league_en,post-break (T>4863700),ARS - FUL,CS 0-6,CS,6162.0,0.002018,1143.59,991,1 in 495
league_en,post-break (T>4863700),MNU - BHA,CS 0-6,CS,10000.0,0.001021,921.45,979,1 in 979
league_en,post-break (T>4863700),NOT - BOU,CS 0-6,CS,10000.0,0.001019,919.37,981,1 in 980
league_en,post-break (T>4863700),LIV - BOU,CS 0-6,CS,10000.0,0.001017,917.29,983,1 in 983
league_en,post-break (T>4863700),MNC - BOU,CS 0-6,CS,10000.0,0.001017,917.29,983,1 in 983
league_en,post-break (T>4863700),CHE - FUL,CS 0-6,CS,10000.0,0.001016,916.26,984,1 in 983
league_en,post-break (T>4863700),MNU - EVE,CS 0-6,CS,10000.0,0.001015,915.23,985,1 in 985
league_en,post-break (T>4863700),CHE - TOT,CS 0-5,CS,10000.0,0.001014,914.2,986,1 in 986
league_en,post-break (T>4863700),CHE - CRY,CS 0-6,CS,10000.0,0.001013,913.17,987,1 in 986
league_en,post-break (T>4863700),FUL - TOT,CS 0-6,CS,10000.0,0.00101,910.1,990,1 in 990
league_en,post-break (T>4863700),WHU - LIV,CS 6-0,CS,3013.0,0.003052,819.53,983,1 in 327
league_en,post-break (T>4863700),AST - WHU,CS 0-6,CS,8370.0,0.001014,748.88,986,1 in 986
league_en,post-break (T>4863700),WHU - CRY,CS 0-6,CS,8181.0,0.00102,734.8,980,1 in 979
league_en,post-break (T>4863700),NOT - CRY,CS 0-6,CS,8181.0,0.001017,732.25,983,1 in 983
league_en,post-break (T>4863700),CRY - BOU,CS 0-6,CS,8135.0,0.001016,726.73,984,1 in 983
league_en,post-break (T>4863700),ARS - BUR,CS 0-6,CS,3725.0,0.00203,656.35,985,1 in 492
league_en,post-break (T>4863700),BHA - LEE,CS 0-6,CS,3693.0,0.002024,647.57,988,1 in 494
league_en,post-break (T>4863700),LIV - BOU,CS 1-5,CS,3517.0,0.002035,615.56,983,1 in 491
league_en,post-break (T>4863700),NEW - FUL,CS 0-6,CS,6162.0,0.001014,524.95,986,1 in 986
league_en,post-break (T>4863700),BRE - EVE,CS 0-5,CS,2057.0,0.003033,523.96,989,1 in 329
league_en,post-break (T>4863700),TOT - ARS,CS 6-0,CS,5454.0,0.001018,455.4,982,1 in 982
league_en,post-break (T>4863700),MNU - BRE,CS 6-0,CS,1828.0,0.003033,454.5,989,1 in 329
league_en,post-break (T>4863700),TOT - BRE,CS 6-0,CS,5454.0,0.001014,453.14,986,1 in 986
league_en,post-break (T>4863700),LIV - LEE,CS 0-5,CS,2657.0,0.002041,442.24,980,1 in 489
league_en,post-break (T>4863700),LEE - MNC,CS 0-6,CS,1043.0,0.005086,430.52,983,1 in 196
league_en,post-break (T>4863700),CRY - BRE,CS 6-0,CS,2516.0,0.002018,407.77,991,1 in 495
league_en,post-break (T>4863700),CHE - FUL,CS 0-5,CS,4837.0,0.001016,391.57,984,1 in 983
league_en,post-break (T>4863700),BRE - TOT,CS 0-5,CS,4716.0,0.001016,379.27,984,1 in 983
league_en,post-break (T>4863700),BRE - BOU,CS 0-5,CS,4716.0,0.001014,378.3,986,1 in 986
league_en,post-break (T>4863700),ARS - BOU,CS 0-5,CS,4716.0,0.001013,377.81,987,1 in 986
league_en,post-break (T>4863700),WHU - TOT,CS 1-5,CS,1492.0,0.003052,355.34,983,1 in 327
league_en,post-break (T>4863700),NOT - CRY,CS 1-5,CS,879.0,0.005086,347.1,983,1 in 196
league_en,post-break (T>4863700),LEE - TOT,CS 1-5,CS,874.0,0.005061,342.31,988,1 in 197
league_en,post-break (T>4863700),LIV - CHE,CS 6-0,CS,1442.0,0.003061,341.43,980,1 in 326
league_en,post-break (T>4863700),BHA - NOT,CS 0-6,CS,2102.0,0.002026,325.94,987,1 in 493
league_en,post-break (T>4863700),BRE - CRY,CS 1-5,CS,1029.0,0.004073,319.14,982,1 in 245
league_en,post-break (T>4863700),ARS - BHA,CS 0-5,CS,2057.0,0.002037,318.94,982,1 in 491
league_en,post-break (T>4863700),NEW - SUN,CS 0-5,CS,2057.0,0.002022,315.98,989,1 in 494
league_en,post-break (T>4863700),MNU - TOT,CS 1-5,CS,1988.0,0.00203,303.65,985,1 in 492
league_en,post-break (T>4863700),CHE - WOL,CS 0-5,CS,1920.0,0.002024,288.66,988,1 in 494
league_en,post-break (T>4863700),BOU - WHU,CS 6-0,CS,1918.0,0.002026,288.65,987,1 in 493
league_en,post-break (T>4863700),TOT - FUL,CS 6-0,CS,1918.0,0.002022,287.87,989,1 in 494
league_en,post-break (T>4863700),BUR - TOT,CS 0-5,CS,3803.0,0.001017,286.88,983,1 in 983
league_en,post-break (T>4863700),MNU - TOT,CS 0-5,CS,3803.0,0.001015,286.09,985,1 in 985
league_en,post-break (T>4863700),SUN - CHE,CS 5-0,CS,1878.0,0.00202,279.39,990,1 in 495
league_en,post-break (T>4863700),CHE - MNU,CS 1-5,CS,1246.0,0.003036,278.34,988,1 in 329
league_en,post-break (T>4863700),LIV - WOL,CS 0-6,CS,3725.0,0.001015,278.17,985,1 in 985
league_en,post-break (T>4863700),LEE - CRY,CS 0-6,CS,3693.0,0.001022,277.61,978,1 in 977
league_en,post-break (T>4863700),CRY - EVE,CS 0-6,CS,3693.0,0.001016,275.3,984,1 in 983
league_en,post-break (T>4863700),EVE - LEE,CS 0-6,CS,3693.0,0.001013,274.16,987,1 in 986
league_en,post-break (T>4863700),EVE - SUN,CS 0-6,CS,3693.0,0.001012,273.79,988,1 in 988
league_en,post-break (T>4863700),SUN - EVE,CS 0-6,CS,3693.0,0.001011,273.41,989,1 in 989
league_en,post-break (T>4863700),BUR - FUL,CS 0-5,CS,1216.0,0.003064,272.63,979,1 in 326
league_en,post-break (T>4863700),CHE - WOL,CS 0-4,CS,408.0,0.009109,271.66,988,1 in 109
league_en,post-break (T>4863700),WHU - MNC,CS 6-0,CS,1827.0,0.002024,269.84,988,1 in 494
league_en,post-break (T>4863700),WOL - CRY,CS 1-5,CS,1204.0,0.003049,267.07,984,1 in 328
league_en,post-break (T>4863700),ARS - NEW,CS 0-6,CS,1818.0,0.002016,266.53,992,1 in 496
league_en,post-break (T>4863700),MNC - CRY,CS 1-5,CS,1204.0,0.003027,264.48,991,1 in 330
league_en,post-break (T>4863700),CRY - FUL,CS 0-5,CS,438.0,0.008155,257.19,981,1 in 122
league_en,post-break (T>4863700),BOU - CHE,CS 5-0,CS,3469.0,0.001026,255.79,975,1 in 975
league_en,post-break (T>4863700),TOT - CHE,CS 5-0,CS,3469.0,0.001015,252.18,985,1 in 985
league_en,post-break (T>4863700),NOT - SUN,CS 6-0,CS,571.0,0.006091,247.82,985,1 in 164
league_en,post-break (T>4863700),NEW - CHE,CS 0-6,CS,1140.0,0.00304,246.5,987,1 in 329
league_en,post-break (T>4863700),BHA - TOT,CS 0-4,CS,284.0,0.012183,245.99,985,1 in 82
league_en,post-break (T>4863700),MNC - CHE,CS 0-6,CS,847.0,0.004077,245.36,981,1 in 245
league_en,post-break (T>4863700),BRE - WHU,CS 0-5,CS,1127.0,0.003046,243.25,985,1 in 328
league_en,post-break (T>4863700),CRY - LIV,CS 6-0,CS,3356.0,0.001022,243.15,978,1 in 977
league_en,post-break (T>4863700),BHA - LIV,CS 6-0,CS,3356.0,0.00102,242.45,980,1 in 979
league_en,post-break (T>4863700),EVE - AST,CS 6-0,CS,3356.0,0.00102,242.45,980,1 in 979
league_en,post-break (T>4863700),SUN - AST,CS 6-0,CS,3356.0,0.001019,242.1,981,1 in 980
league_en,post-break (T>4863700),LEE - BUR,CS 6-0,CS,1665.0,0.002039,239.45,981,1 in 490
league_en,post-break (T>4863700),CRY - MNU,CS 6-0,CS,1665.0,0.00203,238.07,985,1 in 492
league_en,post-break (T>4863700),MNC - MNU,CS 0-6,CS,3297.0,0.001018,235.74,982,1 in 982
league_en,post-break (T>4863700),CRY - NEW,CS 0-6,CS,824.0,0.004049,233.6,988,1 in 247
league_en,post-break (T>4863700),ARS - TOT,CS 0-4,CS,814.0,0.004077,231.91,981,1 in 245
league_en,post-break (T>4863700),FUL - NOT,CS 0-6,CS,3229.0,0.001017,228.48,983,1 in 983
league_en,post-break (T>4863700),CHE - BHA,CS 1-5,CS,3235.0,0.001014,228.09,986,1 in 986
league_en,post-break (T>4863700),CHE - AST,CS 0-6,CS,3235.0,0.001013,227.76,987,1 in 986
league_en,post-break (T>4863700),LEE - EVE,CS 1-5,CS,527.0,0.006098,221.34,984,1 in 164
league_en,post-break (T>4863700),MNU - BHA,CS 1-5,CS,1044.0,0.003064,219.92,979,1 in 326
league_en,post-break (T>4863700),SUN - CRY,CS 6-0,CS,1054.0,0.003021,218.43,993,1 in 331
league_en,post-break (T>4863700),MNU - CRY,CS 1-5,CS,1044.0,0.003046,217.97,985,1 in 328
league_en,post-break (T>4863700),MNU - AST,CS 0-6,CS,1041.0,0.003033,215.77,989,1 in 329
league_en,post-break (T>4863700),AST - FUL,CS 0-5,CS,1553.0,0.002012,212.47,994,1 in 496
league_en,post-break (T>4863700),LIV - NOT,CS 0-5,CS,1553.0,0.002004,211.22,998,1 in 499
league_en,post-break (T>4863700),TOT - NOT,CS 5-0,CS,436.0,0.007121,210.48,983,1 in 140
league_en,post-break (T>4863700),FUL - AST,CS 6-0,CS,3013.0,0.001026,209.03,975,1 in 975
league_en,post-break (T>4863700),CRY - CHE,CS 5-1,CS,1011.0,0.003043,207.61,986,1 in 328
league_en,post-break (T>4863700),FUL - LIV,CS 6-0,CS,3013.0,0.001011,204.65,989,1 in 989
league_en,post-break (T>4863700),CRY - WOL,CS 5-0,CS,413.0,0.007071,192.02,990,1 in 141
league_en,post-break (T>4863700),LEE - CRY,CS 0-5,CS,703.0,0.00409,187.53,978,1 in 244
league_en,post-break (T>4863700),LEE - BHA,CS 0-5,CS,703.0,0.004069,186.06,983,1 in 245
league_en,post-break (T>4863700),BHA - BOU,CS 0-5,CS,1400.0,0.002035,184.84,983,1 in 491
league_en,post-break (T>4863700),FUL - BHA,CS 0-5,CS,1407.0,0.002022,184.53,989,1 in 494
league_en,post-break (T>4863700),SUN - BHA,CS 0-5,CS,703.0,0.004036,183.75,991,1 in 247
league_en,post-break (T>4863700),TOT - MNU,CS 6-0,CS,2696.0,0.001018,174.54,982,1 in 982
league_en,post-break (T>4863700),AST - BHA,CS 0-5,CS,2657.0,0.001013,169.2,987,1 in 986
league_en,post-break (T>4863700),LIV - CRY,CS 0-5,CS,2657.0,0.001007,167.57,993,1 in 993
league_en,post-break (T>4863700),BHA - WHU,CS 1-5,CS,329.0,0.00813,167.48,984,1 in 122
league_en,post-break (T>4863700),BHA - NOT,CS 1-5,CS,329.0,0.008105,166.67,987,1 in 123
league_en,post-break (T>4863700),TOT - BHA,CS 6-0,CS,1312.0,0.002028,166.13,986,1 in 493
league_en,post-break (T>4863700),ARS - LIV,CS 6-0,CS,1307.0,0.002033,165.65,984,1 in 491
league_en,post-break (T>4863700),CHE - FUL,CS 1-4,CS,373.0,0.007114,165.35,984,1 in 140
league_en,post-break (T>4863700),MNC - MNU,CS 6-0,CS,650.0,0.004073,164.77,982,1 in 245
league_en,post-break (T>4863700),WOL - MNU,CS 6-0,CS,650.0,0.004069,164.5,983,1 in 245
league_en,post-break (T>4863700),MNU - BRE,CS 0-6,CS,1305.0,0.002022,163.9,989,1 in 494
league_en,post-break (T>4863700),BUR - WHU,CS 2-4,CS,200.0,0.013158,163.16,988,1 in 76
league_en,post-break (T>4863700),BOU - AST,CS 5-0,CS,1298.0,0.002022,162.49,989,1 in 494
league_en,post-break (T>4863700),LIV - SUN,CS 1-5,CS,1286.0,0.00203,161.12,985,1 in 492
league_en,post-break (T>4863700),WHU - CHE,CS 5-0,CS,1271.0,0.002028,157.81,986,1 in 493
league_en,post-break (T>4863700),EVE - BRE,CS 6-0,CS,2516.0,0.00102,156.73,980,1 in 979
league_en,post-break (T>4863700),EVE - ARS,CS 6-0,CS,2516.0,0.001017,155.95,983,1 in 983
league_en,post-break (T>4863700),LIV - BRE,CS 0-6,CS,2514.0,0.001014,154.97,986,1 in 986
league_en,post-break (T>4863700),BHA - NEW,CS 6-0,CS,2516.0,0.001013,154.91,987,1 in 986
league_en,post-break (T>4863700),CRY - NEW,CS 6-0,CS,2516.0,0.001012,154.66,988,1 in 988
league_en,post-break (T>4863700),WOL - BOU,CS 1-5,CS,2502.0,0.001016,154.27,984,1 in 983
league_en,post-break (T>4863700),WOL - TOT,CS 1-5,CS,2502.0,0.001015,154.01,985,1 in 985
league_en,post-break (T>4863700),NEW - FUL,CS 2-4,CS,165.0,0.015213,151.01,986,1 in 65
league_en,post-break (T>4863700),LIV - CHE,CS 0-6,CS,1226.0,0.002041,150.2,980,1 in 489
league_en,post-break (T>4863700),WHU - TOT,CS 0-5,CS,2457.0,0.001017,149.95,983,1 in 983
