league_key,strategy,net_pl,roi_pct,win_rate_pct,max_drawdown_pct,profit_factor,total_bets,won_bets,total_wagered,final_balance
league_en,EngineEdge_3pct,7455711.0,20.53,39.73,8.26,1.34,726401,288607,36320050.0,7460711.0
league_en,EngineEdge_5pct,6498648.0,27.58,40.03,7.52,1.46,471294,188649,23564700.0,6503648.0
league_it,EngineEdge_3pct,5610272.5,19.12,38.1,16.71,1.31,586758,223537,29337900.0,5615272.5
league_en,EngineEdge_7pct,5434704.5,34.22,40.87,5.06,1.58,317639,129808,15881950.0,5439704.5
league_it,EngineEdge_5pct,4724917.0,29.99,36.8,11.29,1.47,315124,115966,15756200.0,4729917.0
league_es,EngineEdge_3pct,4354265.0,16.53,42.45,16.11,1.29,526726,223614,26336300.0,4359265.0
league_es,EngineEdge_5pct,3626930.5,25.36,41.48,12.34,1.43,286072,118663,14303600.0,3631930.5
league_it,EngineEdge_7pct,3456524.0,38.24,36.91,8.77,1.61,180801,66736,9040050.0,3461524.0
league_es,EngineEdge_7pct,2851153.0,34.47,41.03,11.46,1.58,165412,67868,8270600.0,2856153.0
league_de,EngineEdge_3pct,2264937.0,10.94,31.23,20.9,1.16,414003,129298,20700150.0,2269937.0
league_de,EngineEdge_5pct,1271781.5,20.1,28.05,18.51,1.28,126529,35492,6326450.0,1276781.5
league_de,EngineEdge_7pct,110290.0,35.58,28.25,7.76,1.5,6199,1751,309950.0,115290.0
